eps_fp,eps_tp,tau_fp,tau_tp,tau_final
0.11,0.01,0.3293206989765167,0.3121652901172638,0.3293206989765167
0.11,0.02,0.3293206989765167,0.32712268829345703,0.3293206989765167
0.11,0.03,0.3293206989765167,0.3401259481906891,0.3401259481906891
0.11,0.04,0.3293206989765167,0.3515838384628296,0.3515838384628296
0.11,0.05,0.3293206989765167,0.35885384678840637,0.35885384678840637
0.11,0.06,0.3293206989765167,0.3687959909439087,0.3687959909439087
0.11,0.07,0.3293206989765167,0.37521296739578247,0.37521296739578247
0.11,0.08,0.3293206989765167,0.3830002248287201,0.3830002248287201
0.11,0.09,0.3293206989765167,0.39082932472229004,0.39082932472229004
0.11,0.1,0.3293206989765167,0.3987773358821869,0.3987773358821869
0.11,0.11,0.3293206989765167,0.4047017991542816,0.4047017991542816
0.11,0.12,0.3293206989765167,0.41200897097587585,0.41200897097587585
0.11,0.13,0.3293206989765167,0.417283296585083,0.417283296585083
0.11,0.14,0.3293206989765167,0.42354804277420044,0.42354804277420044
0.11,0.15,0.3293206989765167,0.4286336898803711,0.4286336898803711
0.11,0.16,0.3293206989765167,0.43381446599960327,0.43381446599960327
0.11,0.17,0.3293206989765167,0.43911486864089966,0.43911486864089966
0.11,0.18,0.3293206989765167,0.44459840655326843,0.44459840655326843
0.11,0.19,0.3293206989765167,0.4492764174938202,0.4492764174938202
0.11,0.2,0.3293206989765167,0.45281803607940674,0.45281803607940674
0.11,0.21,0.3293206989765167,0.45662403106689453,0.45662403106689453
0.11,0.22,0.3293206989765167,0.46143150329589844,0.46143150329589844
0.11,0.23,0.3293206989765167,0.4650297164916992,0.4650297164916992
0.11,0.24,0.3293206989765167,0.46998530626296997,0.46998530626296997
0.11,0.25,0.3293206989765167,0.473291277885437,0.473291277885437
0.11,0.26,0.3293206989765167,0.47672128677368164,0.47672128677368164
0.11,0.27,0.3293206989765167,0.48006686568260193,0.48006686568260193
0.11,0.28,0.3293206989765167,0.48308706283569336,0.48308706283569336
0.11,0.29,0.3293206989765167,0.4861908257007599,0.4861908257007599
0.12,0.01,0.32124993205070496,0.3121652901172638,0.32124993205070496
0.12,0.02,0.32124993205070496,0.32712268829345703,0.32712268829345703
0.12,0.03,0.32124993205070496,0.3401259481906891,0.3401259481906891
0.12,0.04,0.32124993205070496,0.3515838384628296,0.3515838384628296
0.12,0.05,0.32124993205070496,0.35885384678840637,0.35885384678840637
0.12,0.06,0.32124993205070496,0.3687959909439087,0.3687959909439087
0.12,0.07,0.32124993205070496,0.37521296739578247,0.37521296739578247
0.12,0.08,0.32124993205070496,0.3830002248287201,0.3830002248287201
0.12,0.09,0.32124993205070496,0.39082932472229004,0.39082932472229004
0.12,0.1,0.32124993205070496,0.3987773358821869,0.3987773358821869
0.12,0.11,0.32124993205070496,0.4047017991542816,0.4047017991542816
0.12,0.12,0.32124993205070496,0.41200897097587585,0.41200897097587585
0.12,0.13,0.32124993205070496,0.417283296585083,0.417283296585083
0.12,0.14,0.32124993205070496,0.42354804277420044,0.42354804277420044
0.12,0.15,0.32124993205070496,0.4286336898803711,0.4286336898803711
0.12,0.16,0.32124993205070496,0.43381446599960327,0.43381446599960327
0.12,0.17,0.32124993205070496,0.43911486864089966,0.43911486864089966
0.12,0.18,0.32124993205070496,0.44459840655326843,0.44459840655326843
0.12,0.19,0.32124993205070496,0.4492764174938202,0.4492764174938202
0.12,0.2,0.32124993205070496,0.45281803607940674,0.45281803607940674
0.12,0.21,0.32124993205070496,0.45662403106689453,0.45662403106689453
0.12,0.22,0.32124993205070496,0.46143150329589844,0.46143150329589844
0.12,0.23,0.32124993205070496,0.4650297164916992,0.4650297164916992
0.12,0.24,0.32124993205070496,0.46998530626296997,0.46998530626296997
0.12,0.25,0.32124993205070496,0.473291277885437,0.473291277885437
0.12,0.26,0.32124993205070496,0.47672128677368164,0.47672128677368164
0.12,0.27,0.32124993205070496,0.48006686568260193,0.48006686568260193
0.12,0.28,0.32124993205070496,0.48308706283569336,0.48308706283569336
0.12,0.29,0.32124993205070496,0.4861908257007599,0.4861908257007599
0.13,0.01,0.31533119082450867,0.3121652901172638,0.31533119082450867
0.13,0.02,0.31533119082450867,0.32712268829345703,0.32712268829345703
0.13,0.03,0.31533119082450867,0.3401259481906891,0.3401259481906891
0.13,0.04,0.31533119082450867,0.3515838384628296,0.3515838384628296
0.13,0.05,0.31533119082450867,0.35885384678840637,0.35885384678840637
0.13,0.06,0.31533119082450867,0.3687959909439087,0.3687959909439087
0.13,0.07,0.31533119082450867,0.37521296739578247,0.37521296739578247
0.13,0.08,0.31533119082450867,0.3830002248287201,0.3830002248287201
0.13,0.09,0.31533119082450867,0.39082932472229004,0.39082932472229004
0.13,0.1,0.31533119082450867,0.3987773358821869,0.3987773358821869
0.13,0.11,0.31533119082450867,0.4047017991542816,0.4047017991542816
0.13,0.12,0.31533119082450867,0.41200897097587585,0.41200897097587585
0.13,0.13,0.31533119082450867,0.417283296585083,0.417283296585083
0.13,0.14,0.31533119082450867,0.42354804277420044,0.42354804277420044
0.13,0.15,0.31533119082450867,0.4286336898803711,0.4286336898803711
0.13,0.16,0.31533119082450867,0.43381446599960327,0.43381446599960327
0.13,0.17,0.31533119082450867,0.43911486864089966,0.43911486864089966
0.13,0.18,0.31533119082450867,0.44459840655326843,0.44459840655326843
0.13,0.19,0.31533119082450867,0.4492764174938202,0.4492764174938202
0.13,0.2,0.31533119082450867,0.45281803607940674,0.45281803607940674
0.13,0.21,0.31533119082450867,0.45662403106689453,0.45662403106689453
0.13,0.22,0.31533119082450867,0.46143150329589844,0.46143150329589844
0.13,0.23,0.31533119082450867,0.4650297164916992,0.4650297164916992
0.13,0.24,0.31533119082450867,0.46998530626296997,0.46998530626296997
0.13,0.25,0.31533119082450867,0.473291277885437,0.473291277885437
0.13,0.26,0.31533119082450867,0.47672128677368164,0.47672128677368164
0.13,0.27,0.31533119082450867,0.48006686568260193,0.48006686568260193
0.13,0.28,0.31533119082450867,0.48308706283569336,0.48308706283569336
0.13,0.29,0.31533119082450867,0.4861908257007599,0.4861908257007599
0.14,0.01,0.3100634217262268,0.3121652901172638,0.3121652901172638
0.14,0.02,0.3100634217262268,0.32712268829345703,0.32712268829345703
0.14,0.03,0.3100634217262268,0.3401259481906891,0.3401259481906891
0.14,0.04,0.3100634217262268,0.3515838384628296,0.3515838384628296
0.14,0.05,0.3100634217262268,0.35885384678840637,0.35885384678840637
0.14,0.06,0.3100634217262268,0.3687959909439087,0.3687959909439087
0.14,0.07,0.3100634217262268,0.37521296739578247,0.37521296739578247
0.14,0.08,0.3100634217262268,0.3830002248287201,0.3830002248287201
0.14,0.09,0.3100634217262268,0.39082932472229004,0.39082932472229004
0.14,0.1,0.3100634217262268,0.3987773358821869,0.3987773358821869
0.14,0.11,0.3100634217262268,0.4047017991542816,0.4047017991542816
0.14,0.12,0.3100634217262268,0.41200897097587585,0.41200897097587585
0.14,0.13,0.3100634217262268,0.417283296585083,0.417283296585083
0.14,0.14,0.3100634217262268,0.42354804277420044,0.42354804277420044
0.14,0.15,0.3100634217262268,0.4286336898803711,0.4286336898803711
0.14,0.16,0.3100634217262268,0.43381446599960327,0.43381446599960327
0.14,0.17,0.3100634217262268,0.43911486864089966,0.43911486864089966
0.14,0.18,0.3100634217262268,0.44459840655326843,0.44459840655326843
0.14,0.19,0.3100634217262268,0.4492764174938202,0.4492764174938202
0.14,0.2,0.3100634217262268,0.45281803607940674,0.45281803607940674
0.14,0.21,0.3100634217262268,0.45662403106689453,0.45662403106689453
0.14,0.22,0.3100634217262268,0.46143150329589844,0.46143150329589844
