eps_fp,eps_tp,tau_final,TP,FP,N,recall_obj,precision,f1,fp_per_image
0.01,0.25,0.5046449899673462,826,4,1233,0.6699107866991079,0.9951807228915662,0.8007755695588948,0.02631578947368421
0.01,0.26,0.5046449899673462,826,4,1233,0.6699107866991079,0.9951807228915662,0.8007755695588948,0.02631578947368421
0.01,0.27,0.5046449899673462,826,4,1233,0.6699107866991079,0.9951807228915662,0.8007755695588948,0.02631578947368421
0.01,0.28,0.5046449899673462,826,4,1233,0.6699107866991079,0.9951807228915662,0.8007755695588948,0.02631578947368421
0.01,0.29,0.5046449899673462,826,4,1233,0.6699107866991079,0.9951807228915662,0.8007755695588948,0.02631578947368421
0.02,0.01,0.4589100778102875,924,5,1233,0.7493917274939172,0.9946178686759957,0.854764107308048,0.03289473684210526
0.02,0.02,0.4589100778102875,924,5,1233,0.7493917274939172,0.9946178686759957,0.854764107308048,0.03289473684210526
0.02,0.03,0.4589100778102875,924,5,1233,0.7493917274939172,0.9946178686759957,0.854764107308048,0.03289473684210526
0.02,0.04,0.4589100778102875,924,5,1233,0.7493917274939172,0.9946178686759957,0.854764107308048,0.03289473684210526
0.02,0.05,0.4589100778102875,924,5,1233,0.7493917274939172,0.9946178686759957,0.854764107308048,0.03289473684210526
0.02,0.06,0.4589100778102875,924,5,1233,0.7493917274939172,0.9946178686759957,0.854764107308048,0.03289473684210526
0.02,0.07,0.4589100778102875,924,5,1233,0.7493917274939172,0.9946178686759957,0.854764107308048,0.03289473684210526
0.02,0.08,0.4589100778102875,924,5,1233,0.7493917274939172,0.9946178686759957,0.854764107308048,0.03289473684210526
0.02,0.09,0.4589100778102875,924,5,1233,0.7493917274939172,0.9946178686759957,0.854764107308048,0.03289473684210526
0.02,0.1,0.4589100778102875,924,5,1233,0.7493917274939172,0.9946178686759957,0.854764107308048,0.03289473684210526
0.02,0.11,0.4589100778102875,924,5,1233,0.7493917274939172,0.9946178686759957,0.854764107308048,0.03289473684210526
0.02,0.12,0.4589100778102875,924,5,1233,0.7493917274939172,0.9946178686759957,0.854764107308048,0.03289473684210526
0.02,0.13,0.4589100778102875,924,5,1233,0.7493917274939172,0.9946178686759957,0.854764107308048,0.03289473684210526
0.02,0.14,0.4589100778102875,924,5,1233,0.7493917274939172,0.9946178686759957,0.854764107308048,0.03289473684210526
0.02,0.15,0.4589100778102875,924,5,1233,0.7493917274939172,0.9946178686759957,0.854764107308048,0.03289473684210526
0.02,0.16,0.4589100778102875,924,5,1233,0.7493917274939172,0.9946178686759957,0.854764107308048,0.03289473684210526
0.02,0.17,0.4589100778102875,924,5,1233,0.7493917274939172,0.9946178686759957,0.854764107308048,0.03289473684210526
0.02,0.18,0.4589100778102875,924,5,1233,0.7493917274939172,0.9946178686759957,0.854764107308048,0.03289473684210526
0.02,0.19,0.4589100778102875,924,5,1233,0.7493917274939172,0.9946178686759957,0.854764107308048,0.03289473684210526
0.02,0.2,0.4589100778102875,924,5,1233,0.7493917274939172,0.9946178686759957,0.854764107308048,0.03289473684210526
0.02,0.21,0.4589100778102875,924,5,1233,0.7493917274939172,0.9946178686759957,0.854764107308048,0.03289473684210526
0.02,0.22,0.46143150329589844,917,5,1233,0.7437145174371452,0.9945770065075922,0.8510440835266821,0.03289473684210526
0.02,0.23,0.4650297164916992,906,5,1233,0.7347931873479319,0.9945115257958288,0.8451492537313432,0.03289473684210526
0.02,0.24,0.46998530626296997,893,4,1233,0.7242497972424979,0.9955406911928651,0.8384976525821597,0.02631578947368421
0.02,0.25,0.473291277885437,885,4,1233,0.7177615571776156,0.9955005624296963,0.8341187558906692,0.02631578947368421
0.02,0.26,0.47672128677368164,873,4,1233,0.708029197080292,0.9954389965792474,0.8274881516587678,0.02631578947368421
0.02,0.27,0.48006686568260193,866,4,1233,0.7023519870235199,0.9954022988505747,0.8235853542558251,0.02631578947368421
0.02,0.28,0.48308706283569336,862,4,1233,0.6991078669910786,0.9953810623556582,0.8213434969032873,0.02631578947368421
0.02,0.29,0.4861908257007599,860,4,1233,0.6974858069748581,0.9953703703703703,0.8202193609918932,0.02631578947368421
0.03,0.01,0.4260057508945465,998,6,1233,0.8094079480940795,0.9940239043824701,0.8922664282521234,0.039473684210526314
0.03,0.02,0.4260057508945465,998,6,1233,0.8094079480940795,0.9940239043824701,0.8922664282521234,0.039473684210526314
0.03,0.03,0.4260057508945465,998,6,1233,0.8094079480940795,0.9940239043824701,0.8922664282521234,0.039473684210526314
0.03,0.04,0.4260057508945465,998,6,1233,0.8094079480940795,0.9940239043824701,0.8922664282521234,0.039473684210526314
0.03,0.05,0.4260057508945465,998,6,1233,0.8094079480940795,0.9940239043824701,0.8922664282521234,0.039473684210526314
0.03,0.06,0.4260057508945465,998,6,1233,0.8094079480940795,0.9940239043824701,0.8922664282521234,0.039473684210526314
0.03,0.07,0.4260057508945465,998,6,1233,0.8094079480940795,0.9940239043824701,0.8922664282521234,0.039473684210526314
0.03,0.08,0.4260057508945465,998,6,1233,0.8094079480940795,0.9940239043824701,0.8922664282521234,0.039473684210526314
0.03,0.09,0.4260057508945465,998,6,1233,0.8094079480940795,0.9940239043824701,0.8922664282521234,0.039473684210526314
0.03,0.1,0.4260057508945465,998,6,1233,0.8094079480940795,0.9940239043824701,0.8922664282521234,0.039473684210526314
0.03,0.11,0.4260057508945465,998,6,1233,0.8094079480940795,0.9940239043824701,0.8922664282521234,0.039473684210526314
0.03,0.12,0.4260057508945465,998,6,1233,0.8094079480940795,0.9940239043824701,0.8922664282521234,0.039473684210526314
0.03,0.13,0.4260057508945465,998,6,1233,0.8094079480940795,0.9940239043824701,0.8922664282521234,0.039473684210526314
0.03,0.14,0.4260057508945465,998,6,1233,0.8094079480940795,0.9940239043824701,0.8922664282521234,0.039473684210526314
0.03,0.15,0.4286336898803711,989,6,1233,0.8021086780210868,0.9939698492462311,0.8877917414721722,0.039473684210526314
0.03,0.16,0.43381446599960327,980,6,1233,0.7948094079480941,0.9939148073022313,0.8832807570977919,0.039473684210526314
0.03,0.17,0.43911486864089966,964,6,1233,0.7818329278183292,0.9938144329896907,0.8751702224239672,0.039473684210526314
0.03,0.18,0.44459840655326843,959,5,1233,0.7777777777777778,0.9948132780082988,0.8730086481565772,0.03289473684210526
0.03,0.19,0.4492764174938202,944,5,1233,0.7656123276561233,0.9947312961011591,0.8652612282309807,0.03289473684210526
0.03,0.2,0.45281803607940674,937,5,1233,0.7599351175993512,0.994692144373673,0.8616091954022989,0.03289473684210526
0.03,0.21,0.45662403106689453,928,5,1233,0.7526358475263585,0.9946409431939979,0.8568790397045244,0.03289473684210526
0.03,0.22,0.46143150329589844,917,5,1233,0.7437145174371452,0.9945770065075922,0.8510440835266821,0.03289473684210526
0.03,0.23,0.4650297164916992,906,5,1233,0.7347931873479319,0.9945115257958288,0.8451492537313432,0.03289473684210526
0.03,0.24,0.46998530626296997,893,4,1233,0.7242497972424979,0.9955406911928651,0.8384976525821597,0.02631578947368421
0.03,0.25,0.473291277885437,885,4,1233,0.7177615571776156,0.9955005624296963,0.8341187558906692,0.02631578947368421
0.03,0.26,0.47672128677368164,873,4,1233,0.708029197080292,0.9954389965792474,0.8274881516587678,0.02631578947368421
0.03,0.27,0.48006686568260193,866,4,1233,0.7023519870235199,0.9954022988505747,0.8235853542558251,0.02631578947368421
0.03,0.28,0.48308706283569336,862,4,1233,0.6991078669910786,0.9953810623556582,0.8213434969032873,0.02631578947368421
0.03,0.29,0.4861908257007599,860,4,1233,0.6974858069748581,0.9953703703703703,0.8202193609918932,0.02631578947368421
0.04,0.01,0.40317603945732117,1041,9,1233,0.8442822384428224,0.9914285714285714,0.9119579500657031,0.05921052631578947
0.04,0.02,0.40317603945732117,1041,9,1233,0.8442822384428224,0.9914285714285714,0.9119579500657031,0.05921052631578947
0.04,0.03,0.40317603945732117,1041,9,1233,0.8442822384428224,0.9914285714285714,0.9119579500657031,0.05921052631578947
0.04,0.04,0.40317603945732117,1041,9,1233,0.8442822384428224,0.9914285714285714,0.9119579500657031,0.05921052631578947
0.04,0.05,0.40317603945732117,1041,9,1233,0.8442822384428224,0.9914285714285714,0.9119579500657031,0.05921052631578947
0.04,0.06,0.40317603945732117,1041,9,1233,0.8442822384428224,0.9914285714285714,0.9119579500657031,0.05921052631578947
0.04,0.07,0.40317603945732117,1041,9,1233,0.8442822384428224,0.9914285714285714,0.9119579500657031,0.05921052631578947
0.04,0.08,0.40317603945732117,1041,9,1233,0.8442822384428224,0.9914285714285714,0.9119579500657031,0.05921052631578947
0.04,0.09,0.40317603945732117,1041,9,1233,0.8442822384428224,0.9914285714285714,0.9119579500657031,0.05921052631578947
